Zone,weekday,hour,rides,avg_trip_miles,avg_fare,avg_driver_pay
Kingsbridge Heights,Saturday,19,544,3.786786764705883,17.79957720588235,15.88575367647059
Kingsbridge Heights,Saturday,20,502,3.589723107569721,16.35816733067729,14.80211155378486
Kingsbridge Heights,Saturday,21,448,3.9245424107142854,16.483058035714286,14.957790178571429
Kingsbridge Heights,Saturday,22,511,3.8821252446183956,16.750391389432487,14.794285714285715
Kingsbridge Heights,Saturday,23,472,3.6063834745762713,15.447224576271188,13.887330508474575
Kingsbridge Heights,Sunday,0,342,3.8282017543859648,15.625847953216374,13.720292397660819
Kingsbridge Heights,Sunday,1,242,3.7235,15.316776859504131,13.042603305785123
Kingsbridge Heights,Sunday,2,180,4.089427777777778,16.3425,14.033722222222224
Kingsbridge Heights,Sunday,3,160,3.7449687500000004,16.155875,12.8760625
Kingsbridge Heights,Sunday,4,149,4.408322147651007,18.9651677852349,14.705838926174497
Kingsbridge Heights,Sunday,5,146,5.237739726027398,20.64876712328767,16.303835616438356
Kingsbridge Heights,Sunday,6,186,6.0440107526881715,25.164569892473118,19.545698924731184
Kingsbridge Heights,Sunday,7,222,4.603689189189189,19.289144144144142,16.072117117117116
Kingsbridge Heights,Sunday,8,229,4.142991266375546,18.267423580786026,15.08406113537118
Kingsbridge Heights,Sunday,9,220,4.295436363636363,18.778545454545455,15.720636363636363
Kingsbridge Heights,Sunday,10,209,4.398,18.666698564593304,15.420143540669857
Kingsbridge Heights,Sunday,11,184,3.606119565217391,16.180869565217392,13.86179347826087
Kingsbridge Heights,Sunday,12,214,3.969621495327103,18.371495327102803,15.503831775700935
Kingsbridge Heights,Sunday,13,247,3.924056680161943,18.17008097165992,15.766963562753036
Kingsbridge Heights,Sunday,14,268,3.4555932835820897,17.272462686567167,15.105858208955224
Kingsbridge Heights,Sunday,15,289,3.922280276816609,18.424948096885814,16.936782006920414
Kingsbridge Heights,Sunday,16,252,3.715686507936508,17.58234126984127,15.958373015873017
Kingsbridge Heights,Sunday,17,221,3.740841628959276,16.931085972850678,15.408054298642533
Kingsbridge Heights,Sunday,18,294,3.9468503401360544,16.795646258503403,15.635986394557822
Kingsbridge Heights,Sunday,19,282,3.8689468085106378,16.44691489361702,15.291028368794326
Kingsbridge Heights,Sunday,20,249,3.634112449799197,16.19859437751004,14.597469879518073
Kingsbridge Heights,Sunday,21,241,4.011464730290457,16.32410788381743,15.007053941908714
Kingsbridge Heights,Sunday,22,261,3.7697547892720307,15.421685823754789,14.029425287356322
Kingsbridge Heights,Sunday,23,271,4.368221402214022,17.895940959409593,15.96169741697417
Kingsbridge Heights,Thursday,0,323,3.5970278637770896,20.33012383900929,17.481609907120745
Kingsbridge Heights,Thursday,1,302,3.6474139072847684,22.42155629139073,20.645562913907284
Kingsbridge Heights,Thursday,2,255,3.856458823529412,18.868196078431374,17.95529411764706
Kingsbridge Heights,Thursday,3,251,4.55698406374502,18.91617529880478,16.692589641434264
Kingsbridge Heights,Thursday,4,254,4.4634606299212605,19.684409448818897,16.831968503937006
Kingsbridge Heights,Thursday,5,258,5.311736434108528,22.19279069767442,18.461434108527133
Kingsbridge Heights,Thursday,6,427,4.408473067915691,22.159906323185012,19.55070257611241
Kingsbridge Heights,Thursday,7,546,3.6717728937728937,23.625659340659343,20.33205128205128
Kingsbridge Heights,Thursday,8,661,3.63074432677761,21.459924357034797,18.7974432677761
Kingsbridge Heights,Thursday,9,503,3.6514194831013915,19.04047713717694,16.43304174950298
Kingsbridge Heights,Thursday,10,383,3.989036553524804,19.1533681462141,16.390783289817232
Kingsbridge Heights,Thursday,11,422,4.577355450236967,21.24765402843602,18.52281990521327
Kingsbridge Heights,Thursday,12,367,4.267422343324251,20.55866485013624,17.949809264305177
Kingsbridge Heights,Thursday,13,440,3.998129545454545,20.292613636363637,17.48259090909091
Kingsbridge Heights,Thursday,14,463,4.190213822894169,21.766393088552917,18.93390928725702
Kingsbridge Heights,Thursday,15,498,4.403570281124498,24.953975903614456,21.16198795180723
Kingsbridge Heights,Thursday,16,481,3.858841995841996,21.674449064449064,19.373908523908526
Kingsbridge Heights,Thursday,17,460,3.5315260869565215,19.96973913043478,17.557934782608694
Kingsbridge Heights,Thursday,18,442,3.383502262443439,18.55321266968326,15.657036199095023
Kingsbridge Heights,Thursday,19,444,3.353002252252252,16.052995495495495,14.505292792792794
Kingsbridge Heights,Thursday,20,390,3.7317153846153843,16.166923076923077,14.901692307692308
Kingsbridge Heights,Thursday,21,384,3.7185859375,15.9040625,14.344218750000001
Kingsbridge Heights,Thursday,22,402,4.519111940298507,17.416517412935324,15.68544776119403
Kingsbridge Heights,Thursday,23,506,3.886181818181818,15.510296442687746,13.742272727272727
Kingsbridge Heights,Tuesday,0,138,4.116913043478261,16.255652173913045,14.525
Kingsbridge Heights,Tuesday,1,84,3.920642857142857,15.648928571428572,13.765
Kingsbridge Heights,Tuesday,2,48,3.5689375,14.582708333333334,12.329166666666666
Kingsbridge Heights,Tuesday,3,58,4.931258620689655,18.23758620689655,14.870172413793103
Kingsbridge Heights,Tuesday,4,85,6.03984705882353,24.35235294117647,19.44623529411765
Kingsbridge Heights,Tuesday,5,157,5.470649681528662,21.153057324840766,18.040254777070064
Kingsbridge Heights,Tuesday,6,358,4.939519553072626,22.33717877094972,19.20209497206704
Kingsbridge Heights,Tuesday,7,519,3.6419055876685933,25.145606936416183,21.275144508670518
Kingsbridge Heights,Tuesday,8,582,3.607491408934708,22.904982817869417,19.708797250859106
Kingsbridge Heights,Tuesday,9,447,3.830053691275168,20.012438478747203,17.482192393736018
Kingsbridge Heights,Tuesday,10,349,3.9986848137535813,19.715243553008595,17.137765042979943
Kingsbridge Heights,Tuesday,11,284,4.271362676056338,20.205528169014084,17.97725352112676
Kingsbridge Heights,Tuesday,12,278,3.846435251798561,19.15460431654676,16.516474820143884
Kingsbridge Heights,Tuesday,13,358,4.003960893854749,19.980195530726256,17.661731843575417
Kingsbridge Heights,Tuesday,14,381,4.233556430446194,21.903070866141732,19.414330708661417
Kingsbridge Heights,Tuesday,15,401,3.670491271820449,21.761371571072317,18.625536159600998
Kingsbridge Heights,Tuesday,16,383,3.6283237597911224,20.63548302872063,18.84195822454308
Kingsbridge Heights,Tuesday,17,377,3.428448275862069,20.225145888594163,17.75519893899204
Kingsbridge Heights,Tuesday,18,339,3.4679203539823007,17.615899705014748,15.698938053097343
Kingsbridge Heights,Tuesday,19,324,3.6956265432098765,16.766512345679015,15.203765432098766
Kingsbridge Heights,Tuesday,20,285,3.8966912280701753,16.231228070175437,14.992631578947368
