zone,total_trips,avg_fare,avg_fare_per_mile,avg_driver_pay,avg_take_rate_pct,avg_driver_share_pct,avg_tip_pct,avg_speed_mph
Lenox Hill East,100310,30.92612521184329,8.41552228785734,22.34169484597747,27.241884478909693,72.7581155210903,5.8777786434810615,13.598670699232287
Lenox Hill West,117715,29.28434362655566,9.823617125983674,20.173709977488002,30.698336188966575,69.30166381103342,5.625390508859129,12.263040098040303
Lincoln Square East,119187,32.76620260598891,10.192006954195907,21.79717720892379,32.77849720421525,67.22150279578476,6.6719018054246835,12.27591883690781
Lincoln Square West,89518,29.271627605621216,9.68543398886434,19.865573627650303,31.68966401504287,68.31033598495713,5.918764422030109,12.332289956869218
Little Italy/NoLiTa,124399,30.271122918994525,11.342130680713067,19.67420324922226,34.63640952235317,65.36359047764682,4.46187319788425,11.205239603166195
Long Island City/Hunters Point,144105,23.538278755074426,7.244580332807516,17.677561916657993,24.684027128212808,75.3159728717872,4.48406619708755,13.343463164307495
Long Island City/Queens Plaza,42047,23.04728375389445,7.261783465408961,17.62612695317145,23.77261771557178,76.22738228442822,4.651854042454756,12.49094887502831
Longwood,32085,18.86287922705314,7.6513232805978095,14.946707495714508,21.949899226869185,78.05010077313082,1.348510523633328,12.343535998302686
Lower East Side,175771,28.86513873164515,9.53187103886127,19.663077527009573,31.499327642922307,68.50067235707769,4.381366405528133,12.89006400108016
Madison,49054,18.47676173196885,7.878028005696391,14.13856464304644,24.685320383194323,75.31467961680568,4.043367967541729,11.124573959543058
Manhattan Beach,19691,20.93652480828805,7.028392785831543,15.571740896856433,26.797648007362707,73.20235199263729,4.2110237886910555,14.659304447606765
Manhattan Valley,47981,26.286031137325192,7.8398884208588235,19.08816364811071,26.971017636234137,73.02898236376586,6.400630610781916,13.342936899197184
Manhattanville,33716,21.491971764147586,7.0934463947939586,16.624188219243088,22.826496149233,77.17350385076699,3.61266152423996,13.880524695530552
Marble Hill,15769,17.688710761620904,7.609235318051238,13.742910140148393,24.27447256024753,75.72552743975247,2.206465570988719,13.250046119141484
Marine Park/Floyd Bennett Field,1005,27.893253731343286,6.309845725679862,20.494517412935323,26.626699995286348,73.37330000471366,4.220464271454081,16.8487487272678
Marine Park/Mill Basin,50176,22.013140146683675,7.146966408263001,16.871151147959182,24.30770980711083,75.69229019288916,3.3136979378641476,12.776567845959349
Mariners Harbor,24685,18.485043953818106,6.097906545959192,14.355173587198705,23.99001700587163,76.00998299412836,2.917013693782904,16.794249529426576
Maspeth,51585,20.010255500630027,6.9134145779357805,15.096251817388776,24.721377150638585,75.27862284936141,3.8521745066557527,13.422232986834283
Meatpacking/West Village West,101782,32.70467607239001,11.933072291495474,20.704289658289284,36.27799967084659,63.7220003291534,4.6728741420883875,10.943725489655083
Melrose South,71974,18.77075443910301,8.0377405425977,14.87242170783894,21.925592943032445,78.07440705696756,1.4592346083265888,11.298110580126565
Middle Village,43114,20.214244560931483,6.973659980952452,15.337369995825021,24.982688182606285,75.01731181739372,4.886505312554009,13.163190467486247
Midtown Center,216949,41.75388118866646,13.300544699157154,25.53196599200734,38.167856550165254,61.832143449834746,6.1612479441473065,11.639161853489615
Midtown East,138954,40.036669257452104,11.892797186211265,24.91991846222491,36.829654560079256,63.170345439920744,6.072571341124398,12.620185343699783
Midtown North,146203,40.93835454812829,12.9026347789109,25.371594084936696,37.13229225715101,62.86770774284899,6.3127025771711045,11.685736329004339
Midtown South,172627,36.07015206196018,11.469514376347163,23.39097788874278,34.467407722531554,65.53259227746844,5.568197804254828,12.467372669836632
Midwood,61019,20.896215277208736,8.251432268970825,16.02211311230928,24.254897059982746,75.74510294001725,3.4932358932774625,10.652976562429565
Morningside Heights,63090,24.61320890790934,7.886677006135408,18.14784133777144,26.16412664169102,73.83587335830899,5.455406813114905,12.945938207479523
Morrisania/Melrose,58774,18.734047197740495,7.928418548995242,14.915635995508218,21.516586360743624,78.48341363925637,1.1625124534425502,11.321682235476354
Mott Haven/Port Morris,103019,20.08269231889263,6.967663216286674,15.839969908463488,21.58798015467169,78.41201984532832,1.632657153073317,14.157894557824035
